GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inmoexpress Maven Webapp,cat.xtec.ioc.config,HibernateMysqlConfiguration,33,0,0,0,7,0,2,0,2,0
Inmoexpress Maven Webapp,cat.xtec.ioc.config,DAOConfig,0,7,0,0,0,2,0,2,0,2
Inmoexpress Maven Webapp,cat.xtec.ioc.config,GlassfishPoolConfiguration,19,0,0,0,5,0,2,0,2,0
Inmoexpress Maven Webapp,cat.xtec.ioc.config,HibernateConfiguration,0,95,0,0,0,15,0,4,0,4
Inmoexpress Maven Webapp,cat.xtec.ioc.config,ServicesConfig,0,8,0,0,0,2,0,2,0,2
Inmoexpress Maven Webapp,cat.xtec.ioc.controller,HomeController,22,0,0,0,5,0,2,0,2,0
Inmoexpress Maven Webapp,cat.xtec.ioc.repository.impl,InmuebleHibernate,43,0,0,0,11,0,8,0,8,0
Inmoexpress Maven Webapp,cat.xtec.ioc.repository.impl,VendedorDAOHibernate,31,15,0,0,7,5,4,3,4,3
Inmoexpress Maven Webapp,cat.xtec.ioc.service,VendedorService,5,11,0,0,1,4,1,2,1,2
Inmoexpress Maven Webapp,cat.xtec.ioc.domain,Vendedor,6,25,0,0,2,11,2,7,2,7
Inmoexpress Maven Webapp,cat.xtec.ioc.domain,Inmueble,105,6,0,0,44,2,23,2,23,2
